height_cm,weight_kg,age,years_active,training_hours_per_week,civilian_casualties_past_year,power_level,public_approval_rating,super_strength,flight,energy_projection,telepathy,healing_factor,shape_shifting,invisibility,telekinesis,is_good,cluster,archetype
177.7,71.3,56,24,34.3,1,79.1,50.0,1,1,0,0,1,1,1,0,0,0,"Operative Hero (Rebel, Protector)"
174.0,64.8,42,9,37.4,3,69.4,95.4,1,0,1,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
150.4,70.3,58,20,55.7,3,81.9,67.6,1,0,1,0,1,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
165.6,61.6,34,14,7.5,2,90.2,82.7,0,0,0,0,1,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
170.8,80.5,57,26,36.1,0,85.9,100.0,0,0,0,1,1,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
201.1,68.5,47,21,24.4,1,77.1,51.1,0,1,0,0,1,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
186.9,83.5,47,18,24.1,7,70.2,63.0,0,1,1,1,0,1,0,0,0,2,"Operative Hero (Disciplined, Ruthless)"
150.0,56.7,54,15,23.8,3,55.3,59.6,0,1,0,0,1,1,1,0,0,1,"Powerhouse Hero (Rebel, Protector)"
186.5,85.0,51,20,20.9,3,81.1,25.9,0,1,0,1,0,0,1,1,1,0,"Operative Hero (Rebel, Protector)"
172.3,92.5,50,26,46.8,0,95.2,58.8,0,0,0,0,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
166.5,50.1,29,23,38.4,1,75.1,82.6,0,1,0,0,0,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
192.2,85.6,37,21,30.2,2,98.8,75.8,0,1,0,1,1,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
200.6,98.4,40,3,43.5,4,47.1,77.4,0,1,0,1,1,0,1,1,1,2,"Operative Hero (Disciplined, Ruthless)"
198.6,61.9,35,1,14.9,0,52.7,57.5,0,0,1,1,1,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
163.2,105.1,37,29,16.7,4,82.8,51.9,0,1,0,0,0,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
173.8,86.3,71,24,8.2,2,74.0,90.4,0,0,0,1,1,0,0,0,0,0,"Operative Hero (Rebel, Protector)"
186.6,69.4,57,12,23.0,0,89.7,55.1,1,1,0,1,1,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
199.5,79.2,55,27,31.6,1,69.8,70.9,0,0,0,0,0,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
170.4,88.4,38,0,31.0,1,57.0,68.3,0,0,0,1,0,1,0,1,1,1,"Powerhouse Hero (Rebel, Protector)"
176.3,81.1,36,16,31.5,2,66.8,94.2,1,0,0,0,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
157.9,88.1,27,12,15.9,0,47.0,84.4,1,0,0,0,0,1,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
156.1,66.2,36,3,38.0,0,53.1,39.1,1,0,0,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
196.3,82.5,43,6,32.4,3,84.6,41.2,0,1,0,1,0,1,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
207.1,58.8,27,16,37.3,0,83.1,76.6,0,0,0,0,0,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
178.6,78.3,36,8,11.1,1,75.4,63.7,0,0,1,0,0,0,1,1,1,1,"Powerhouse Hero (Rebel, Protector)"
200.1,66.4,36,3,33.1,1,44.2,55.9,0,0,0,0,0,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
187.2,69.0,25,18,18.1,1,64.6,85.3,1,0,1,0,0,1,0,0,0,0,"Operative Hero (Rebel, Protector)"
167.1,98.5,24,0,26.0,3,51.6,68.7,0,0,1,0,1,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
187.2,96.4,33,9,35.3,1,87.6,66.0,0,0,0,0,0,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
210.8,89.1,53,3,30.9,3,61.2,80.6,0,0,1,1,0,1,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
179.3,63.6,45,8,21.5,2,53.7,57.5,0,0,0,1,0,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
211.3,75.3,26,12,30.1,0,70.4,96.4,0,0,0,1,0,0,1,1,0,1,"Powerhouse Hero (Rebel, Protector)"
150.0,98.2,47,13,14.7,0,60.4,49.2,1,0,0,1,1,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
196.4,82.1,18,9,41.5,1,92.3,78.1,1,0,1,0,0,0,0,1,0,1,"Powerhouse Hero (Rebel, Protector)"
181.7,114.8,47,5,27.9,1,59.0,93.7,1,1,0,0,0,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
174.0,85.9,36,15,41.2,3,49.0,37.5,0,0,1,0,1,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
181.8,82.9,36,5,24.7,2,37.7,58.1,0,0,0,0,0,1,0,1,1,1,"Powerhouse Hero (Rebel, Protector)"
150.0,75.4,55,16,24.8,1,69.5,87.8,0,0,1,1,0,1,0,1,0,0,"Operative Hero (Rebel, Protector)"
175.6,82.0,28,9,22.4,0,61.6,88.1,0,0,0,0,0,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
187.1,77.7,26,17,38.8,1,48.6,61.6,1,0,0,1,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
209.6,90.6,42,26,22.9,2,87.8,50.3,0,0,0,0,1,1,1,0,1,0,"Operative Hero (Rebel, Protector)"
169.6,94.4,57,21,36.4,1,80.0,84.1,1,0,0,1,0,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
163.8,68.2,32,17,26.2,1,69.6,88.7,0,0,0,0,1,1,1,0,1,0,"Operative Hero (Rebel, Protector)"
170.0,60.0,18,2,10.2,0,90.5,41.7,0,0,1,0,1,0,0,1,0,1,"Powerhouse Hero (Rebel, Protector)"
198.3,52.5,41,19,24.3,2,79.9,40.9,0,0,0,1,0,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
186.6,87.6,50,26,18.2,4,57.7,69.5,0,1,1,0,0,1,1,0,0,0,"Operative Hero (Rebel, Protector)"
169.4,63.4,52,20,30.3,1,54.4,77.6,1,0,0,1,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
190.3,47.7,44,24,18.1,1,82.3,59.0,0,0,1,0,0,0,0,0,0,0,"Operative Hero (Rebel, Protector)"
181.9,85.8,44,27,39.3,7,75.9,78.6,1,1,0,0,0,0,0,0,0,2,"Operative Hero (Disciplined, Ruthless)"
199.4,117.4,56,14,29.1,1,72.5,50.8,1,1,0,1,0,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
166.0,79.9,21,14,28.2,2,57.3,22.7,0,0,1,0,0,1,0,1,0,1,"Powerhouse Hero (Rebel, Protector)"
173.4,92.6,34,3,36.6,0,79.1,56.5,1,1,0,1,1,1,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
172.2,81.2,55,28,39.6,2,58.7,66.3,0,0,0,0,0,1,1,1,0,0,"Operative Hero (Rebel, Protector)"
150.7,78.5,53,26,29.8,0,68.5,59.5,0,0,0,0,0,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
185.9,93.8,34,8,22.3,6,91.7,41.8,1,0,0,0,1,0,1,1,1,2,"Operative Hero (Disciplined, Ruthless)"
185.2,75.6,48,26,12.3,3,60.1,28.7,1,0,0,0,0,0,1,1,0,0,"Operative Hero (Rebel, Protector)"
180.1,84.0,19,25,23.1,3,46.4,54.7,0,0,1,0,0,1,1,1,0,0,"Operative Hero (Rebel, Protector)"
175.3,84.8,40,18,23.8,2,54.2,83.0,0,0,0,0,0,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
151.7,70.0,50,23,31.1,2,84.9,90.1,0,0,0,0,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
171.6,94.9,40,27,26.5,1,73.8,88.8,0,0,0,0,0,0,0,1,0,0,"Operative Hero (Rebel, Protector)"
173.1,77.4,40,16,36.9,4,68.1,48.7,0,0,0,0,0,0,0,1,0,2,"Operative Hero (Disciplined, Ruthless)"
164.0,68.7,42,10,23.9,6,62.4,41.9,1,0,0,0,0,0,0,0,0,2,"Operative Hero (Disciplined, Ruthless)"
176.8,88.0,46,24,29.4,1,77.3,74.9,0,0,1,0,1,0,0,0,0,0,"Operative Hero (Rebel, Protector)"
188.1,66.5,40,8,41.8,5,57.3,77.7,0,0,1,0,0,0,0,0,1,2,"Operative Hero (Disciplined, Ruthless)"
217.7,80.4,33,9,33.4,2,74.6,73.0,0,1,0,0,0,1,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
183.5,79.9,41,17,29.4,2,59.0,24.7,0,0,1,0,0,1,0,0,0,0,"Operative Hero (Rebel, Protector)"
185.2,96.3,47,19,24.0,1,56.5,47.7,0,0,0,0,0,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
178.5,87.1,44,12,23.7,0,60.4,64.4,0,1,1,1,0,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
150.0,79.6,31,7,21.5,0,64.4,74.7,1,0,0,1,1,1,0,1,0,1,"Powerhouse Hero (Rebel, Protector)"
179.5,92.3,42,6,24.6,1,69.3,80.3,0,1,0,0,0,1,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
181.2,100.9,50,16,37.6,1,73.5,67.9,0,0,0,0,0,0,1,1,1,0,"Operative Hero (Rebel, Protector)"
229.3,88.4,21,20,27.8,1,14.7,71.6,1,0,0,1,0,1,1,0,0,0,"Operative Hero (Rebel, Protector)"
176.2,80.2,58,22,16.5,1,57.9,66.7,0,0,0,0,0,0,1,0,0,0,"Operative Hero (Rebel, Protector)"
186.0,60.3,43,14,47.7,8,64.1,78.7,0,0,0,1,0,1,1,0,1,2,"Operative Hero (Disciplined, Ruthless)"
179.3,64.0,50,19,33.2,1,92.6,71.3,0,0,0,1,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
156.6,75.4,54,14,15.9,1,53.8,66.3,0,1,0,0,0,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
202.9,70.9,23,0,25.6,0,72.4,59.6,0,1,0,0,0,0,1,0,0,1,"Powerhouse Hero (Rebel, Protector)"
195.0,77.2,40,24,31.1,0,92.4,66.6,0,0,0,1,0,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
195.8,80.8,39,13,47.0,3,50.3,74.7,1,1,0,1,0,0,0,0,1,2,"Operative Hero (Disciplined, Ruthless)"
161.8,87.9,27,4,18.9,2,75.9,70.3,1,0,0,0,0,1,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
208.1,78.9,58,10,39.8,3,58.0,72.6,0,0,0,0,1,1,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
152.0,87.3,36,15,44.0,0,62.4,91.9,0,0,1,0,0,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
191.7,81.0,28,1,23.7,2,58.0,70.3,0,1,1,0,1,0,1,0,0,1,"Powerhouse Hero (Rebel, Protector)"
223.8,50.4,43,7,27.2,1,59.0,52.0,0,0,0,1,0,1,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
160.2,65.9,28,10,19.6,1,100.0,82.7,0,0,0,1,0,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
168.7,77.8,43,28,28.0,0,82.7,37.7,0,1,0,0,0,1,0,0,0,0,"Operative Hero (Rebel, Protector)"
182.0,61.9,49,17,29.6,0,86.5,43.4,0,0,1,1,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
169.9,89.0,32,2,36.6,1,77.4,71.7,1,0,0,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
150.0,103.0,50,29,40.9,0,45.9,75.3,0,0,0,0,0,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
181.4,98.3,42,25,22.5,9,75.9,40.1,1,0,0,0,1,1,0,0,1,2,"Operative Hero (Disciplined, Ruthless)"
158.8,76.8,20,0,10.3,1,86.1,57.3,1,0,0,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
189.5,102.4,44,10,29.8,0,57.2,52.9,0,1,0,0,0,1,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
161.6,82.2,61,15,32.9,0,84.5,55.3,1,0,0,0,0,0,1,1,1,0,"Operative Hero (Rebel, Protector)"
211.0,74.9,40,17,32.5,2,80.6,83.9,1,0,0,1,1,1,1,1,1,0,"Operative Hero (Rebel, Protector)"
164.3,70.8,50,29,26.7,0,97.8,79.1,0,0,0,1,1,0,1,0,0,0,"Operative Hero (Rebel, Protector)"
173.6,75.5,51,15,31.2,4,63.7,64.6,0,0,0,0,0,0,0,1,1,2,"Operative Hero (Disciplined, Ruthless)"
196.3,74.2,33,22,45.2,7,53.5,54.1,0,0,0,0,1,0,0,0,1,2,"Operative Hero (Disciplined, Ruthless)"
155.4,82.6,55,9,33.8,1,64.6,38.0,1,1,0,0,0,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
184.5,82.4,43,17,26.3,1,91.5,93.4,0,0,1,1,0,1,1,1,0,0,"Operative Hero (Rebel, Protector)"
206.1,80.0,52,5,25.0,0,42.6,76.8,0,0,0,0,0,0,1,1,0,1,"Powerhouse Hero (Rebel, Protector)"
150.0,86.6,33,18,28.3,2,39.0,50.9,0,0,0,0,1,0,0,0,0,0,"Operative Hero (Rebel, Protector)"
183.7,97.9,54,3,46.4,1,71.3,79.4,0,0,0,0,1,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
185.2,94.2,55,26,28.2,1,63.4,63.6,0,1,0,0,1,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
195.6,57.7,45,12,29.8,0,70.1,59.3,1,1,0,0,0,1,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
155.3,45.0,49,23,25.2,2,84.2,73.7,0,0,0,1,1,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
153.6,94.0,40,13,41.0,1,61.7,50.2,1,1,0,1,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
190.4,59.5,52,2,49.6,0,41.9,58.1,1,0,0,0,0,0,0,1,1,1,"Powerhouse Hero (Rebel, Protector)"
185.9,76.6,38,9,34.5,2,100.0,67.4,0,0,0,0,0,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
185.0,62.4,20,5,30.8,2,55.0,55.0,0,0,0,0,0,1,0,1,0,1,"Powerhouse Hero (Rebel, Protector)"
186.9,53.0,26,0,30.4,4,54.1,78.4,1,0,0,1,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
166.4,88.1,43,22,6.2,0,86.6,100.0,1,1,0,0,0,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
184.6,91.4,50,23,37.5,3,64.2,49.9,0,0,0,0,1,1,0,0,0,0,"Operative Hero (Rebel, Protector)"
185.9,71.4,47,26,31.3,2,69.0,31.7,0,0,0,0,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
165.7,45.0,54,13,34.3,0,77.2,25.0,0,1,0,0,0,1,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
217.3,71.8,22,7,22.9,2,86.3,62.0,1,0,0,0,1,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
189.5,85.9,47,18,26.2,1,65.0,51.7,1,1,0,0,0,1,0,0,0,0,"Operative Hero (Rebel, Protector)"
156.2,57.8,24,13,25.9,6,92.8,69.2,0,0,1,0,0,0,0,0,0,2,"Operative Hero (Disciplined, Ruthless)"
193.1,82.8,46,9,40.2,0,38.0,67.7,1,0,1,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
160.5,79.8,39,16,26.2,2,81.4,32.9,0,1,0,0,0,0,0,0,0,0,"Operative Hero (Rebel, Protector)"
195.7,88.7,43,8,50.8,1,57.4,28.7,1,0,0,0,0,1,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
203.2,81.8,43,28,34.3,6,90.6,70.9,0,1,0,0,0,1,1,0,1,2,"Operative Hero (Disciplined, Ruthless)"
163.6,65.4,47,5,17.2,1,72.1,67.7,0,0,0,0,1,0,1,0,0,1,"Powerhouse Hero (Rebel, Protector)"
199.3,97.9,48,10,28.7,7,59.9,56.5,0,1,1,0,0,1,0,1,0,2,"Operative Hero (Disciplined, Ruthless)"
188.3,77.6,53,24,23.5,5,79.9,31.9,0,0,1,1,0,0,0,0,0,2,"Operative Hero (Disciplined, Ruthless)"
196.4,79.6,35,6,8.1,1,83.4,74.4,0,0,1,0,0,1,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
217.9,66.0,47,16,46.0,3,79.6,90.4,0,1,0,0,0,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
175.1,73.4,41,27,37.0,11,54.6,70.6,0,0,0,0,0,0,0,0,0,2,"Operative Hero (Disciplined, Ruthless)"
164.9,66.7,54,27,35.3,1,62.7,48.1,0,1,1,0,1,1,1,0,1,0,"Operative Hero (Rebel, Protector)"
162.2,77.4,50,0,31.7,1,69.9,65.9,0,1,0,0,1,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
163.7,105.7,58,21,16.2,1,69.4,37.7,1,1,1,1,0,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
178.5,59.4,27,4,25.2,1,81.2,86.2,1,1,0,0,1,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
186.8,55.8,39,8,38.4,0,39.8,66.6,0,0,0,0,0,1,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
185.5,102.1,29,17,19.5,0,75.0,29.6,0,0,0,1,0,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
196.5,76.9,54,23,4.7,1,65.7,59.0,0,0,0,1,0,1,0,0,0,0,"Operative Hero (Rebel, Protector)"
180.3,70.0,52,26,27.7,1,57.4,74.3,1,0,0,1,0,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
209.1,95.6,25,20,28.6,0,58.9,58.3,1,0,0,1,1,1,1,1,0,0,"Operative Hero (Rebel, Protector)"
174.7,70.9,24,1,31.4,4,66.8,59.5,0,0,0,1,0,0,0,1,1,1,"Powerhouse Hero (Rebel, Protector)"
234.4,107.4,43,28,37.3,2,16.0,40.5,1,0,0,0,0,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
192.5,90.2,45,25,36.4,0,59.5,76.3,1,0,0,0,1,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
162.9,72.7,29,10,32.6,2,56.9,52.0,1,0,0,0,1,0,0,1,1,1,"Powerhouse Hero (Rebel, Protector)"
158.6,112.4,51,26,42.0,2,78.0,21.9,0,1,1,1,1,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
189.6,70.9,53,27,14.8,6,57.9,57.6,0,0,0,1,0,0,1,1,1,2,"Operative Hero (Disciplined, Ruthless)"
175.5,91.1,33,5,35.0,0,66.8,84.6,0,0,0,0,0,1,0,1,0,1,"Powerhouse Hero (Rebel, Protector)"
194.3,84.5,42,25,36.3,1,93.1,57.3,0,1,1,0,0,1,1,0,1,0,"Operative Hero (Rebel, Protector)"
189.5,99.5,49,7,17.6,5,84.9,99.8,0,0,1,1,0,0,0,0,1,2,"Operative Hero (Disciplined, Ruthless)"
178.5,103.4,52,3,15.0,5,83.5,73.6,0,1,0,1,1,1,1,0,0,2,"Operative Hero (Disciplined, Ruthless)"
163.1,80.5,39,17,22.5,3,62.5,71.8,0,0,1,0,1,0,1,1,0,0,"Operative Hero (Rebel, Protector)"
150.0,68.7,42,27,23.4,3,78.1,62.4,0,0,0,1,1,1,0,0,0,0,"Operative Hero (Rebel, Protector)"
171.1,86.9,47,10,37.5,0,66.5,63.6,0,0,0,0,0,0,1,1,0,1,"Powerhouse Hero (Rebel, Protector)"
197.1,69.8,31,4,23.9,1,67.1,59.7,0,1,0,0,1,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
184.3,110.2,39,14,21.4,1,76.1,59.0,1,0,0,0,1,1,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
155.1,82.0,58,27,23.9,0,61.0,75.6,1,1,1,0,0,0,0,0,0,0,"Operative Hero (Rebel, Protector)"
183.5,74.5,23,17,41.2,3,92.4,46.3,0,0,1,0,0,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
187.7,82.8,50,1,30.1,0,67.6,43.5,0,0,1,1,1,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
162.3,59.8,50,21,28.2,1,79.3,42.5,0,0,1,1,0,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
183.1,65.4,35,10,28.9,6,91.8,100.0,0,0,0,1,1,1,1,0,1,2,"Operative Hero (Disciplined, Ruthless)"
181.2,98.0,48,25,42.9,0,85.5,75.6,1,0,0,0,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
157.1,70.1,44,24,22.5,8,48.9,71.1,0,1,1,0,1,1,0,0,0,2,"Operative Hero (Disciplined, Ruthless)"
187.2,64.3,25,12,43.2,10,76.7,43.8,0,0,1,0,1,0,0,0,0,2,"Operative Hero (Disciplined, Ruthless)"
191.2,88.0,52,3,32.1,2,82.8,77.5,1,0,1,0,0,0,0,1,1,1,"Powerhouse Hero (Rebel, Protector)"
201.7,97.8,47,21,28.4,0,83.4,62.7,0,0,1,0,1,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
201.1,90.8,41,6,55.0,1,53.3,69.3,0,1,0,0,0,1,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
152.4,94.9,55,28,19.4,1,60.1,45.5,0,1,1,0,0,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
161.2,68.6,31,10,26.5,1,84.9,68.2,0,1,1,1,0,0,1,1,0,1,"Powerhouse Hero (Rebel, Protector)"
