height_cm,weight_kg,age,years_active,training_hours_per_week,civilian_casualties_past_year,power_level,public_approval_rating,super_strength,flight,energy_projection,telepathy,healing_factor,shape_shifting,invisibility,telekinesis,is_good,total_powers,power_efficiency,training_intensity,casualty_rate,approval_power_ratio,bmi,experience_score,kmeans_cluster
217.7,80.4,33,9,33.4,2,74.6,73.0,0,1,0,0,0,1,0,0,1,2,7.459999999999999,0.9823529411764705,0.2,0.9656084656084657,16.964426820758803,300.59999999999997,0
183.5,79.9,41,17,29.4,2,59.0,24.7,0,0,1,0,0,1,0,0,0,2,3.2777777777777777,0.7,0.1111111111111111,0.4116666666666667,23.728738055817477,499.79999999999995,1
185.2,96.3,47,19,24.0,1,56.5,47.7,0,0,0,0,0,1,0,0,1,1,2.825,0.5,0.05,0.8295652173913044,28.076587566299235,456.0,1
178.5,87.1,44,12,23.7,0,60.4,64.4,0,1,1,1,0,0,1,0,1,4,4.646153846153846,0.5266666666666666,0.0,1.0488599348534202,27.336424765984823,284.4,1
150.0,79.6,31,7,21.5,0,64.4,74.7,1,0,0,1,1,1,0,1,0,5,8.05,0.671875,0.0,1.1422018348623852,35.37777777777777,150.5,0
179.5,92.3,42,6,24.6,1,69.3,80.3,0,1,0,0,0,1,1,0,1,3,9.9,0.572093023255814,0.14285714285714285,1.1422475106685632,28.64658095452394,147.60000000000002,0
181.2,100.9,50,16,37.6,1,73.5,67.9,0,0,0,0,0,0,1,1,1,2,4.323529411764706,0.7372549019607844,0.058823529411764705,0.9114093959731544,30.730864630693592,601.6,1
229.3,88.4,21,20,27.8,1,14.7,71.6,1,0,0,1,0,1,1,0,0,4,0.7,1.2636363636363637,0.047619047619047616,4.560509554140127,16.81295906367794,556.0,1
176.2,80.2,58,22,16.5,1,57.9,66.7,0,0,0,0,0,0,1,0,0,1,2.517391304347826,0.2796610169491525,0.043478260869565216,1.1324278438030562,25.832269335872333,363.0,1
186.0,60.3,43,14,47.7,8,64.1,78.7,0,0,0,1,0,1,1,0,1,3,4.2733333333333325,1.0840909090909092,0.5333333333333333,1.208909370199693,17.429760665972942,667.8000000000001,1
179.3,64.0,50,19,33.2,1,92.6,71.3,0,0,0,1,0,0,0,0,1,1,4.63,0.6509803921568628,0.05,0.7617521367521368,19.907622410881505,630.8000000000001,1
156.6,75.4,54,14,15.9,1,53.8,66.3,0,1,0,0,0,0,1,0,1,2,3.5866666666666664,0.2890909090909091,0.06666666666666667,1.2098540145985401,30.74594390047775,222.6,1
202.9,70.9,23,0,25.6,0,72.4,59.6,0,1,0,0,0,0,1,0,0,2,72.4,1.0666666666666667,0.0,0.8119891008174387,17.221942746878007,0.0,0
195.0,77.2,40,24,31.1,0,92.4,66.6,0,0,0,1,0,0,1,0,1,2,3.696,0.7585365853658537,0.0,0.7130620985010706,20.30243261012492,746.4000000000001,1
195.8,80.8,39,13,47.0,3,50.3,74.7,1,1,0,1,0,0,0,0,1,3,3.5928571428571425,1.175,0.21428571428571427,1.456140350877193,21.07589303879946,611.0,1
161.8,87.9,27,4,18.9,2,75.9,70.3,1,0,0,0,0,1,0,0,0,2,15.180000000000001,0.6749999999999999,0.4,0.9141742522756826,33.57622299195851,75.6,0
208.1,78.9,58,10,39.8,3,58.0,72.6,0,0,0,0,1,1,0,0,1,2,5.2727272727272725,0.6745762711864406,0.2727272727272727,1.230508474576271,18.219348486258482,398.0,1
152.0,87.3,36,15,44.0,0,62.4,91.9,0,0,1,0,0,1,0,0,1,2,3.9,1.1891891891891893,0.0,1.4495268138801263,37.7856648199446,660.0,1
191.7,81.0,28,1,23.7,2,58.0,70.3,0,1,1,0,1,0,1,0,0,4,29.0,0.8172413793103448,1.0,1.1915254237288135,22.04148206925434,23.7,0
223.8,50.4,43,7,27.2,1,59.0,52.0,0,0,0,1,0,1,0,0,1,2,7.375,0.6181818181818182,0.125,0.8666666666666667,10.062603770601383,190.4,0
160.2,65.9,28,10,19.6,1,100.0,82.7,0,0,0,1,0,0,0,0,0,1,9.090909090909092,0.6758620689655173,0.09090909090909091,0.8188118811881189,25.677952496956838,196.0,0
168.7,77.8,43,28,28.0,0,82.7,37.7,0,1,0,0,0,1,0,0,0,2,2.8517241379310345,0.6363636363636364,0.0,0.45041816009557945,27.336910556650484,784.0,1
182.0,61.9,49,17,29.6,0,86.5,43.4,0,0,1,1,0,0,0,0,1,2,4.805555555555555,0.5920000000000001,0.0,0.496,18.68735659944451,503.20000000000005,1
169.9,89.0,32,2,36.6,1,77.4,71.7,1,0,0,0,0,0,0,0,1,1,25.8,1.1090909090909091,0.3333333333333333,0.9145408163265306,30.832110153083157,73.2,0
150.0,103.0,50,29,40.9,0,45.9,75.3,0,0,0,0,0,1,0,0,1,1,1.53,0.8019607843137254,0.0,1.605543710021322,45.77777777777778,1186.1,1
181.4,98.3,42,25,22.5,9,75.9,40.1,1,0,0,0,1,1,0,0,1,3,2.9192307692307695,0.5232558139534884,0.34615384615384615,0.5214564369310793,29.873007807704134,562.5,1
158.8,76.8,20,0,10.3,1,86.1,57.3,1,0,0,0,0,0,0,0,1,1,86.1,0.4904761904761905,1.0,0.6578645235361653,30.45511360391855,0.0,0
189.5,102.4,44,10,29.8,0,57.2,52.9,0,1,0,0,0,1,0,0,1,2,5.2,0.6622222222222223,0.0,0.90893470790378,28.51553525803914,298.0,1
161.6,82.2,61,15,32.9,0,84.5,55.3,1,0,0,0,0,0,1,1,1,3,5.28125,0.5306451612903226,0.0,0.6467836257309941,31.476693461425356,493.5,1
211.0,74.9,40,17,32.5,2,80.6,83.9,1,0,0,1,1,1,1,1,1,6,4.477777777777778,0.7926829268292683,0.1111111111111111,1.028186274509804,16.823521484243393,552.5,1
164.3,70.8,50,29,26.7,0,97.8,79.1,0,0,0,1,1,0,1,0,0,3,3.26,0.5235294117647059,0.0,0.8006072874493927,26.22757459022193,774.3,1
173.6,75.5,51,15,31.2,4,63.7,64.6,0,0,0,0,0,0,0,1,1,1,3.98125,0.6,0.25,0.9984544049459041,25.05229459109346,468.0,1
196.3,74.2,33,22,45.2,7,53.5,54.1,0,0,0,0,1,0,0,0,1,1,2.3260869565217392,1.3294117647058825,0.30434782608695654,0.9926605504587156,19.255877129857016,994.4000000000001,1
155.4,82.6,55,9,33.8,1,64.6,38.0,1,1,0,0,0,0,0,0,0,2,6.459999999999999,0.6035714285714285,0.1,0.5792682926829269,34.204088258142306,304.2,1
184.5,82.4,43,17,26.3,1,91.5,93.4,0,0,1,1,0,1,1,1,0,5,5.083333333333333,0.5977272727272728,0.05555555555555555,1.0097297297297299,24.206637730333945,447.1,1
206.1,80.0,52,5,25.0,0,42.6,76.8,0,0,0,0,0,0,1,1,0,2,7.1000000000000005,0.4716981132075472,0.0,1.7614678899082568,18.83362866817289,125.0,0
150.0,86.6,33,18,28.3,2,39.0,50.9,0,0,0,0,1,0,0,0,0,1,2.0526315789473686,0.8323529411764706,0.10526315789473684,1.2725,38.48888888888889,509.40000000000003,1
183.7,97.9,54,3,46.4,1,71.3,79.4,0,0,0,0,1,0,1,0,1,2,17.825,0.8436363636363636,0.25,1.0982019363762103,29.011112233888245,139.2,0
185.2,94.2,55,26,28.2,1,63.4,63.6,0,1,0,0,1,0,0,0,1,2,2.348148148148148,0.5035714285714286,0.037037037037037035,0.9875776397515528,27.464325532143178,733.1999999999999,1
195.6,57.7,45,12,29.8,0,70.1,59.3,1,1,0,0,0,1,0,0,0,3,5.392307692307692,0.6478260869565218,0.0,0.8340365682137835,15.081276843104538,357.6,1
155.3,45.0,49,23,25.2,2,84.2,73.7,0,0,0,1,1,0,0,0,1,2,3.5083333333333333,0.504,0.08333333333333333,0.8650234741784038,18.658193911706935,579.6,1
153.6,94.0,40,13,41.0,1,61.7,50.2,1,1,0,1,0,0,0,0,1,3,4.4071428571428575,1.0,0.07142857142857142,0.8006379585326954,39.84239366319444,533.0,1
190.4,59.5,52,2,49.6,0,41.9,58.1,1,0,0,0,0,0,0,1,1,2,13.966666666666667,0.9358490566037736,0.0,1.3543123543123543,16.41281512605042,99.2,0
